F1,SI,JI,IC_av,cluster count,segment,stream,size
,-0.1400985725811386,,"[4.2982565763039755, 2.0470294016189845, 0.20419777306600662, 2.0470294016189845]",3,5,-,7
,0.2783054102710695,,"[2.3442649971192195, 0.17448464318073853, 2.169780353938481]",2,6,-,7
,0.05490410153149069,,"[1.6884065935240244, 1.5126648369883002, 0.1757417565357242]",2,7,-,7
,0.4106079826828835,,"[1.351381978153238, 1.2285834580936486, 0.1227985200595894]",2,8,-,7
,0.0809682604011641,,"[2.119174047574113, 0.6357663935944414, 1.2938643453801064, 0.18954330859956564]",3,9,-,7
,0.07216752957688302,,"[5.90056696617121, 3.2420753268613915, 2.658491639309819]",2,10,-,7
,0.05788572622881642,,"[4.560579594163744, 1.645603063941244, 1.2693734662812555, 1.645603063941244]",3,11,-,7
,0.023359695133840303,,"[0.8186349406385717, 0.10134132663965197, 0.04471083140632323, 0.5059517164603107, 0.10134132663965197, 0.04471083140632323, 0.020578908086310504]",6,1,-,3
,-0.04187786515851353,,"[3.1261302189473126, 0.2772291705684549, 1.124128641323878, 0.4965875614118718, 1.228184845643108]",4,2,-,3
,0.03420587075671374,,"[1.3284586706164576, 0.5163416249967254, 0.8121170456197322]",2,3,-,3
,0.11619790059852118,,"[1.595809087656142, 0.6181018025475101, 0.9777072851086319]",2,4,-,3
,0.004355093618974552,,"[1.5066160701204367, 0.2795268919669232, 0.0628800724177364, 1.164209105735777]",3,5,-,3
,-0.02886351010007731,,"[1.6643319583472693, 0.7484591187400234, 0.034871882286569754, 0.8810009573206762]",3,6,-,3
,-0.03222173781860212,,"[1.787706159185615, 0.06657236037553717, 0.3853461900396022, 0.02586203495960122, 0.24584533441371775, 1.0640802393971567]",5,7,-,3
,-0.1029993209784912,,"[2.0908612241795574, 0.2224713244570613, 0.5210523107406925, 0.2224713244570613, 1.045798000198525, 0.07906826432621732]",5,8,-,3
,0.14704155559147652,,"[1.3150384226880898, 0.18812812922015051, 1.1269102934679394]",2,9,-,3
,0.03165311257106494,,"[1.463895735092304, 0.1160772588448457, 1.2997203670764659, 0.04809810917099235]",3,10,-,3
,-0.01027612243442711,,"[1.4013712315243287, 0.0, 0.8854767702889854, 0.5158944612353432]",3,11,-,3
,0.15252283454829935,,"[1.061541776134904, 0.407007785186432, 0.08484257546669456, 0.08484257546669456, 0.48484884001508277]",4,1,-,5
,0.32757807993260774,,"[2.3657685789967484, 1.8428355691565264, 0.5229330098402222]",2,2,-,5
,,,"[1.3356732997701675, 1.3356732997701675]",1,3,-,5
,,,"[1.4873864760175308, 1.4873864760175308]",1,4,-,5
,,,"[1.597426039705849, 1.597426039705849]",1,5,-,5
,,,"[1.8637648660229325, 1.8637648660229325]",1,6,-,5
,0.07235452234657715,,"[2.307512979433408, 1.898401721163966, 0.3832492233098409, 0.02586203495960122]",3,7,-,5
,-0.07250144350599486,,"[2.0301329834696906, 1.412131757344174, 0.19352288311003016, 0.4244783430154864]",3,8,-,5
,0.14822143660703022,,"[1.31732097391592, 0.20509411392632804, 1.112226859989592]",2,9,-,5
,0.07933381938713502,,"[1.5237787895684236, 0.46073813943805364, 1.06304065013037]",2,10,-,5
,0.11964203551768406,,"[1.4228929512029966, 0.4962569408806375, 0.9266360103223591]",2,11,-,5
,0.08036194374207839,,"[1.16151371453229, 0.1164803403209588, 0.15146103100810754, 0.6229361270057876, 0.27063621619743594]",4,1,-,7
,-0.07219592366539844,,"[3.131399942372361, 1.228184845643108, 0.8304294159660285, 1.0727856807632246]",3,2,-,7
,0.058492558897523035,,"[1.2959979388833613, 1.0325053800275483, 0.2634925588558131]",2,3,-,7
,0.04699716280779416,,"[1.5376400229280502, 1.0386569722512566, 0.16308882387344176, 0.3358942268033518]",3,4,-,7
,0.013511695236987588,,"[1.547068981656298, 0.15645822103748405, 1.3906107606188138]",2,5,-,7
,-0.04977619685430337,,"[1.6736901207790211, 0.7484591187400234, 0.15910109691744098, 0.7661299051215569]",3,6,-,7
,-0.1505560520573293,,"[1.5781720244839064, 0.6980141822045522, 0.16973663503890193, 0.3552106036202261, 0.3552106036202261]",4,7,-,7
,-0.07699267064359024,,"[1.9828553985487425, 0.2224713244570613, 1.515819578739085, 0.2445644953525963]",3,8,-,7
,0.05183813980570317,,"[1.3639697383204814, 0.91617725124503, 0.44779248707545144]",2,9,-,7
,0.004743058402242717,,"[1.507145476380951, 1.1861782442425934, 0.32096723213835776]",2,10,-,7
,0.0021378527015090305,,"[1.3913925236277422, 1.3653248240635867, 0.02606769956415547]",2,11,-,7
