F1,SI,JI,homogeneity,RI,ARI,MI,NMI,AMI,CS,V,FMI,S,DB,IC_av,segment,stream,size
,,,,,,,,,,,,,,,4,-,24
,,,,,,,,,,,,,,,5,-,24
,0.8501990646592525,,,,,,,,,,,696.6638654019531,0.2163654066463518,"[1.8784711407353227, 0.40440314957744616, 1.4740679911578767]",6,-,24
,0.771806620456262,,,,,,,,,,,296.4007102757292,0.31044703348759717,"[10.570434744722032, 9.72942452514636, 0.841010219575672]",7,-,24
,,,,,,,,,,,,,,,8,-,24
,,,,,,,,,,,,,,,9,-,24
,,,,,,,,,,,,,,,10,-,24
,0.8693457948920271,,,,,,,,,,,757.7704708960505,0.18328434238777355,"[1.4509949622466163, 0.24512220823890205, 1.2058727540077143]",11,-,24
,0.995508775804078,,,,,,,,,,,446353.4575054707,0.004994656317399954,"[352.39611052768515, 0.5114662015656027, 351.88464432611954]",1,-,3
,0.9956848208140203,,,,,,,,,,,251689.10788058976,0.006158629006021753,"[188.68250911496378, 0.12620705507441562, 188.55630205988936]",2,-,3
,,,,,,,,,,,,,,,3,-,3
,,,,,,,,,,,,,,,4,-,3
,,,,,,,,,,,,,,,5,-,3
,,,,,,,,,,,,,,,6,-,3
,,,,,,,,,,,,,,,7,-,3
,,,,,,,,,,,,,,,8,-,3
,,,,,,,,,,,,,,,9,-,3
,,,,,,,,,,,,,,,10,-,3
,0.6810754298411629,,,,,,,,,,,124.24734010584052,0.4988986746656593,"[5.039411598147838, 4.298589695084588, 0.7408219030632504]",11,-,3
,,,,,,,,,,,,,,,1,-,5
,,,,,,,,,,,,,,,2,-,5
,,,,,,,,,,,,,,,3,-,5
,,,,,,,,,,,,,,,4,-,5
,,,,,,,,,,,,,,,5,-,5
,,,,,,,,,,,,,,,6,-,5
,0.9921252101079449,,,,,,,,,,,51791.997410269134,0.008304672741744635,"[3.937494661068076, 0.05776594888352616, 3.8797287121845496]",7,-,5
,0.9917271035381287,,,,,,,,,,,110415.65286423403,0.01069282979391674,"[168.17429687284582, 167.66706277044338, 0.5072341024024217]",8,-,5
,,,,,,,,,,,,,,,9,-,5
,0.9886501409080197,,,,,,,,,,,61504.38157965431,0.01717024033729424,"[169.47525750558836, 169.08703759427002, 0.38821991131834205]",10,-,5
